name,lat,long,max_temp,humidity,cloudiness,wind_speed,country
Ruska Poliana,49.417,31.9201,84.24,42,11,6.44,UA
Jieshi,22.8134,115.8257,86.95,80,78,14.18,CN
Lebu,-37.6167,-73.65,47.37,67,1,21.88,CL
Pueblo Nuevo,23.3833,-105.3833,67.32,58,74,0.45,MX
Cidreira,-30.1811,-50.2056,54.72,64,62,19.39,BR
Naze,28.3667,129.4833,76.44,87,100,11.92,JP
Northam,51.0333,-4.2167,71.02,85,47,13.53,GB
Bemidji,47.4736,-94.8803,72.55,83,1,6.91,US
Lagoa,39.05,-27.9833,71.49,88,100,11.54,PT
Ushuaia,-54.8,-68.3,35.26,87,90,6.91,AR
Konëvo,62.1215,39.3192,69.26,38,6,6.35,RU
Narsaq,60.9167,-46.05,59.22,47,99,6.06,GL
Ambon City,-3.6954,128.1814,77.14,100,40,5.75,ID
Padang,-0.9492,100.3543,80.65,87,23,3.33,ID
Forsytheganj,52.6333,29.7333,75.24,61,100,9.69,BY
Khani,41.9563,42.9566,67.57,98,99,3.83,GE
Albany,42.6001,-73.9662,81.63,66,4,2.17,US
Hualmay,-11.0964,-77.6139,67.17,76,49,7.05,PE
Havre-St-Pierre,50.2334,-63.5986,66.56,88,90,2.3,CA
Ulyanovsk Oblast,54.0,48.0,75.96,51,73,7.74,RU
Thompson,55.7435,-97.8558,64.56,63,40,5.75,CA
São João da Barra,-21.6403,-41.0511,80.69,55,0,10.63,BR
Yellowknife,62.456,-114.3525,53.29,87,75,3.0,CA
Provideniya,64.3833,-173.3,46.9,99,100,9.46,RU
Mayumba,-3.432,10.6554,76.82,76,86,9.06,GA
Tambun,-6.2641,107.0712,81.03,65,67,4.61,ID
City of San Pedro,14.35,121.0167,83.16,93,90,11.5,PH
Busselton,-33.65,115.3333,48.09,63,93,12.15,AU
Oria,43.2554,-2.0187,79.68,69,33,7.0,ES
Rikitea,-23.1203,-134.9692,74.28,74,96,17.07,PF
Butaritari,3.0707,172.7902,81.54,74,100,8.7,KI
Jamestown,42.097,-79.2353,82.18,63,1,8.99,US
Tiksi,71.6872,128.8694,36.05,94,60,6.33,RU
East London,-33.0153,27.9116,83.34,14,0,13.8,ZA
Punta Arenas,-53.15,-70.9167,41.11,87,75,3.44,CL
Mkokotoni,-5.8767,39.2547,82.56,64,7,16.93,TZ
Beyneu,45.3167,55.2,87.33,14,56,14.54,KZ
Kaeo,-35.1,173.7833,47.32,90,13,6.04,NZ
Faanui,-16.4833,-151.75,77.58,74,34,7.34,PF
Kapaa,22.0752,-159.319,79.12,83,75,12.66,US
Misungwi,-2.85,33.0833,81.07,31,38,7.63,TZ
Barrow,71.2906,-156.7887,41.02,93,90,5.75,US
Samarai,-10.6167,150.6667,78.33,86,85,11.68,PG
Nikolskoye,59.7035,30.7861,86.02,30,47,6.58,RU
Bambous Virieux,-20.3428,57.7575,68.25,83,75,10.36,MU
George Town,5.4112,100.3354,84.88,82,20,2.3,MY
Coquimbo,-29.9533,-71.3436,53.33,62,0,4.61,CL
San Isidro,-12.1167,-77.05,65.01,94,90,4.61,PE
Itarema,-2.9248,-39.9167,87.75,51,66,17.47,BR
Lixouri,38.2019,20.4314,100.26,38,0,16.11,GR
Chazuta,-6.5742,-76.1367,77.85,64,94,0.56,PE
Stony Mountain,50.0864,-97.2196,73.78,64,1,0.0,CA
Mataura,-46.1927,168.8643,48.47,86,100,1.16,NZ
Alvand,36.3187,49.1678,79.92,39,0,8.43,IR
Hithadhoo,-0.6,73.0833,81.0,78,96,6.67,MV
Puerto Ayora,-0.7393,-90.3518,73.36,69,50,11.54,EC
Saint Anthony,45.0205,-93.218,82.85,67,20,1.99,US
Raudeberg,61.9875,5.1352,71.38,89,100,0.65,NO
Shepetivka,50.1855,27.0637,83.35,58,26,10.6,UA
Terrace,54.5163,-128.6035,55.31,94,75,6.91,CA
Deputatsky,69.3,139.9,39.69,74,80,3.87,RU
Wausau,44.9591,-89.6301,69.71,86,1,3.0,US
Moroni,-11.7022,43.2551,73.96,79,40,14.52,KM
Bredasdorp,-34.5322,20.0403,67.32,42,17,18.41,ZA
Daru,-9.0763,143.2092,77.22,86,98,14.92,PG
Kuusamo,65.9667,29.1833,73.44,33,0,5.75,FI
Biloela,-24.4167,150.5,52.05,92,0,3.83,AU
Beringovskiy,63.05,179.3167,48.96,98,100,7.29,RU
Kahului,20.8947,-156.47,77.85,89,90,16.11,US
Hermanus,-34.4187,19.2345,64.8,72,32,24.63,ZA
Wakema,16.6,95.1833,80.96,82,100,12.88,MM
Torbay,47.6666,-52.7314,67.15,95,90,19.57,CA
Korenovsk,45.4686,39.4519,76.95,52,100,18.05,RU
Pevek,69.7008,170.3133,33.89,94,100,16.8,RU
Mahenge,-8.6833,36.7167,69.84,34,3,3.24,TZ
Lüderitz,-26.6481,15.1594,62.15,65,0,14.56,NA
Bluff,-46.6,168.3333,48.79,78,96,18.16,NZ
Hobart,-42.8794,147.3294,57.25,60,89,7.0,AU
Husavik,66.0449,-17.3389,51.71,99,100,13.4,IS
Saint Paul Harbor,57.79,-152.4072,47.71,81,1,5.75,US
Margate,51.3813,1.3862,71.69,72,89,3.0,GB
Qaanaaq,77.484,-69.3632,44.06,91,66,10.63,GL
Vaini,-21.2,-175.2,66.36,94,75,6.91,TO
Snyder,32.7179,-100.9176,87.94,48,1,5.75,US
Kamaishi,39.2667,141.8833,71.49,98,96,10.38,JP
Mabaruma,8.2,-59.7833,81.41,87,92,2.37,GY
Cherskiy,68.75,161.3,34.5,91,83,16.42,RU
Longyearbyen,78.2186,15.6401,46.24,87,75,5.75,SJ
Onega,63.9061,38.1404,61.18,51,13,7.05,RU
Cap Malheureux,-19.9842,57.6142,68.49,80,51,7.0,MU
Matara,5.9485,80.5353,79.02,88,86,11.45,LK
Puerto Rondón,6.2805,-71.1,81.45,76,51,4.74,CO
Saint George,37.1041,-113.5841,77.38,82,1,1.99,US
Vostok,46.4856,135.8833,72.88,79,99,3.2,RU
Dikson,73.5069,80.5464,44.69,99,100,14.32,RU
Avarua,-21.2078,-159.775,69.85,94,75,3.44,CK
Pacific Grove,36.6177,-121.9166,68.29,92,1,1.01,US
Dubbo,-32.25,148.6167,42.93,81,2,5.75,AU
Pochutla,15.7432,-96.4661,80.82,71,100,0.6,MX
Piney Green,34.716,-77.3202,88.02,71,40,4.61,US
Mungeli,22.0667,81.6833,77.5,82,100,9.6,IN
Aklavik,68.2191,-135.0107,54.43,94,90,5.75,CA
Porto-Novo,6.4965,2.6036,82.22,53,99,12.66,BJ
Wilmington,34.2257,-77.9447,86.99,83,20,8.05,US
Baiyin,36.5583,104.2081,65.28,50,100,12.26,CN
Cabo San Lucas,22.8909,-109.9124,86.61,68,9,8.5,MX
Ilulissat,69.2167,-51.1,53.62,62,75,6.91,GL
Mossamedes,-15.1961,12.1522,73.33,61,2,10.65,AO
Mezen',65.8522,44.24,46.92,80,100,11.61,RU
Shingū,33.7333,135.9833,81.91,83,96,5.41,JP
Saskylakh,71.9167,114.0833,58.71,66,28,15.21,RU
Noumea,-22.2763,166.4572,60.78,69,1,8.05,NC
Kushmurun,52.4503,64.6311,67.42,48,77,3.96,KZ
Atuona,-9.8,-139.0333,77.25,71,10,17.76,PF
Yulara,-25.2406,130.9889,67.84,30,75,6.91,AU
Mar del Plata,-38.0023,-57.5575,45.09,34,20,11.99,AR
Akureyri,65.6835,-18.0878,51.73,93,75,10.36,IS
Coolum Beach,-26.5333,153.1,59.11,90,7,6.26,AU
Ruwi,23.5996,58.5507,101.89,35,97,4.79,OM
Chui,-33.6971,-53.4616,47.07,51,0,17.29,UY
Santa Quitéria do Maranhão,-3.5156,-42.5467,94.28,35,8,4.65,BR
Mombetsu,44.3525,143.3525,68.94,97,63,1.79,JP
